,Place ID,Place Name
0,ChIJNbFX6hovPYgReyMwdyzk_h8,Cotton Correctional Facility
1,ChIJ-avARIShPIgRlL48kp1eJM0,FCI Milan
2,ChIJkfOeKzDyPIgRVxIWxkVjVWs,Gus Harrison Correctional Facility
3,ChIJ_eBD1zmkPIgR682CNCHKorc,Women's Huron Valley Correctional Facility
4,ChIJhW8NH1B7GIgRK5S-mKnLyaU,Ionia Correctional Facility
5,ChIJjQEQBwQvPYgRp68HsuVNb-4,Parnall Correctional Facility
6,ChIJLQtMqRU-IogRtf6TRF2fZ3o,St Louis Correctional Facility (SLF)
7,ChIJeY0qPsdjJIgRhUE90ZLZyig,"Thumb Correctional Facility, Warden Chandler Cheeks"
8,ChIJF-wg2mJyPYgRfEJoh4zayRc,Jackson College - LeTarte Center
9,ChIJcZtSjMeXNU0Rq9KqZVA6GlQ,North Central Michigan College
10,ChIJITZA8lRPNU0RwZg68tkeAto,North Central Michigan College Gaylord Center
11,ChIJITZA8lRPNU0RwZg68tkeAto,North Central Michigan College Gaylord Center
12,ChIJp9hl4DucJYgRMjNx5u3NGWM,Paul Mitchell The School Great Lakes
13,ChIJyfJvkADpIogRm2pOEqFWP-E,Protege Academy
14,ChIJs4p4u5pPI4gRuteDzKhINzA,Brighton High School
15,ChIJd9gbMLhcI4gRZsM8F8_tijM,Hartland Educational Support Services Center
16,ChIJCXY91NnBIogRRkz_IMXoV38,Cooley Law School
17,ChIJX3VPhRmsPIgRuMuPsKhb3tY,Thomas M. Cooley Law School
18,ChIJP7fVPNLPwogRUaKxfsG4EJc,Thomas M. Cooley Law School
19,ChIJF1tbDNC3JIgRzN6L7WIQAb0,Spring Arbor University
20,ChIJ99m5C9C3JIgRz7dOp1yHE8w,Spring Arbor University Metro Detroit Campus
21,ChIJYcqS6hc5PYgRce9dC-1NabU,The Arbor Church
22,ChIJF1tbDNC3JIgRzN6L7WIQAb0,Spring Arbor University
23,ChIJF1tbDNC3JIgRzN6L7WIQAb0,Spring Arbor University
24,ChIJF1tbDNC3JIgRzN6L7WIQAb0,Spring Arbor University
25,ChIJQ48iG3AlPYgRSKQ5FmjYqEA,"Spring Arbor University, Jackson"
26,ChIJF1tbDNC3JIgRzN6L7WIQAb0,Spring Arbor University
27,ChIJQ3MIppV_O4gRb56E7H2DgK8,Spring Arbor University - Metro Toledo
28,ChIJPZGbJ5GESk0RUWFQFbRffFA,"Spring Arbor University, Petoskey"
29,ChIJKZI5O8MyHogRqQhTXxhoMcI,"Spring Arbor University, Traverse City"
